               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 105,            0.034229,            0.010804,           0.0093839,             0.95144,             0.94737,             0.97761,             0.76277,            0.020401,           0.0045451,           0.0044936,           0.0079408,           0.0079408,           0.0079408
                 106,            0.036582,            0.010951,           0.0071976,             0.61402,             0.90109,             0.90681,             0.59416,            0.031954,           0.0049535,           0.0045593,            0.007921,            0.007921,            0.007921
                 107,            0.046086,            0.010311,            0.008073,             0.94394,             0.92105,             0.96157,             0.71038,            0.020829,           0.0044581,           0.0047238,           0.0079012,           0.0079012,           0.0079012
                 108,            0.033914,            0.009976,           0.0097907,             0.94394,             0.92105,             0.96157,             0.71038,            0.020829,           0.0044581,           0.0047238,           0.0078814,           0.0078814,           0.0078814
                 109,            0.030844,           0.0084083,            0.015043,              0.9419,             0.92105,             0.96013,             0.67654,            0.018143,           0.0043199,           0.0048494,           0.0078616,           0.0078616,           0.0078616
                 110,            0.030775,           0.0096111,           0.0087602,             0.79791,             0.92105,             0.90381,             0.69436,            0.021787,           0.0045087,           0.0048182,           0.0078418,           0.0078418,           0.0078418
                 111,            0.035678,           0.0095374,            0.015094,             0.83747,             0.97024,             0.93399,             0.62174,            0.027291,            0.004588,            0.004114,            0.007822,            0.007822,            0.007822
                 112,             0.03979,            0.010269,           0.0086434,             0.83747,             0.97024,             0.93399,             0.62174,            0.027291,            0.004588,            0.004114,           0.0078022,           0.0078022,           0.0078022
                 113,            0.032722,           0.0092451,            0.012484,             0.99256,             0.98067,               0.995,             0.73246,            0.020092,           0.0042002,           0.0058034,           0.0077824,           0.0077824,           0.0077824
                 114,            0.030334,           0.0088809,            0.013462,             0.95377,               0.975,             0.98316,               0.787,             0.02491,           0.0043103,           0.0063347,           0.0077626,           0.0077626,           0.0077626
                 115,             0.03669,           0.0092881,            0.010636,             0.66163,             0.81711,             0.92854,              0.6043,            0.027954,           0.0044628,           0.0058159,           0.0077428,           0.0077428,           0.0077428
                 116,            0.034735,           0.0090482,            0.011616,             0.66163,             0.81711,             0.92854,              0.6043,            0.027954,           0.0044628,           0.0058159,            0.007723,            0.007723,            0.007723
                 117,            0.034375,             0.00958,            0.012964,             0.73619,               0.975,             0.96514,             0.76212,            0.021467,           0.0040806,           0.0075074,           0.0077032,           0.0077032,           0.0077032
                 118,            0.035057,           0.0094625,            0.011158,              0.8899,             0.97584,             0.97687,             0.78825,            0.023723,           0.0042121,            0.007151,           0.0076834,           0.0076834,           0.0076834
                 119,            0.033294,           0.0089389,            0.008396,             0.70311,             0.94868,              0.9734,             0.75369,             0.02072,            0.004199,             0.00487,           0.0076636,           0.0076636,           0.0076636
                 120,             0.03146,           0.0077947,            0.012668,             0.70311,             0.94868,              0.9734,             0.75369,             0.02072,            0.004199,             0.00487,           0.0076438,           0.0076438,           0.0076438
                 121,            0.029945,           0.0090167,            0.010271,             0.97044,             0.97368,              0.9904,             0.78721,            0.016958,           0.0040617,           0.0047617,            0.007624,            0.007624,            0.007624
                 122,            0.029816,            0.010392,            0.010705,             0.95091,             0.94977,             0.97524,             0.72616,             0.02279,           0.0043616,           0.0051225,           0.0076042,           0.0076042,           0.0076042
                 123,            0.031999,            0.008883,            0.015553,              0.9443,             0.94737,             0.96077,             0.69354,            0.025428,           0.0042719,           0.0052558,           0.0075844,           0.0075844,           0.0075844
                 124,            0.039055,           0.0094781,           0.0099324,              0.9443,             0.94737,             0.96077,             0.69354,            0.025428,           0.0042719,           0.0052558,           0.0075646,           0.0075646,           0.0075646
                 125,            0.031436,           0.0090132,           0.0093272,             0.92076,             0.94737,             0.96059,             0.76812,            0.021447,           0.0041363,           0.0052421,           0.0075448,           0.0075448,           0.0075448
                 126,            0.029781,           0.0096945,            0.006404,              0.9469,             0.94737,             0.95775,             0.74485,              0.0191,           0.0039472,           0.0053196,            0.007525,            0.007525,            0.007525
                 127,            0.032205,           0.0094325,            0.011887,              0.9489,             0.97067,             0.98186,             0.62493,            0.025912,           0.0041625,           0.0049424,           0.0075052,           0.0075052,           0.0075052
                 128,            0.036515,           0.0091292,            0.012927,              0.9489,             0.97067,             0.98186,             0.62493,            0.025912,           0.0041625,           0.0049424,           0.0074854,           0.0074854,           0.0074854
                 129,            0.031139,           0.0095744,           0.0090177,             0.95315,             0.94737,             0.97776,             0.67008,            0.018055,           0.0038657,           0.0051482,           0.0074656,           0.0074656,           0.0074656
                 130,            0.027312,           0.0085112,            0.011422,             0.89684,             0.95849,             0.96932,             0.72053,            0.020098,           0.0041252,           0.0046481,           0.0074458,           0.0074458,           0.0074458
                 131,            0.037561,           0.0080958,            0.010615,             0.94966,             0.97368,             0.98759,             0.68091,            0.030069,           0.0043593,           0.0045172,            0.007426,            0.007426,            0.007426
                 132,            0.042076,            0.009599,            0.010417,             0.94966,             0.97368,             0.98759,             0.68091,            0.030069,           0.0043593,           0.0045172,           0.0074062,           0.0074062,           0.0074062
                 133,            0.042023,            0.010945,           0.0084391,             0.95603,             0.97368,             0.98759,             0.76865,            0.025787,           0.0041188,           0.0044463,           0.0073864,           0.0073864,           0.0073864
                 134,            0.039638,           0.0090675,           0.0098536,              0.9637,             0.96753,             0.98397,             0.73585,            0.024381,           0.0041366,           0.0039975,           0.0073666,           0.0073666,           0.0073666
                 135,            0.043372,             0.00839,           0.0086539,             0.80281,             0.98643,             0.94242,             0.70425,            0.020154,           0.0038973,           0.0040311,           0.0073468,           0.0073468,           0.0073468
                 136,            0.031625,           0.0083225,            0.011019,             0.80281,             0.98643,             0.94242,             0.70425,            0.020154,           0.0038973,           0.0040311,            0.007327,            0.007327,            0.007327
                 137,            0.029255,           0.0085861,             0.01045,             0.94723,             0.98086,             0.98325,             0.75189,            0.016889,           0.0038066,           0.0041511,           0.0073072,           0.0073072,           0.0073072
                 138,            0.030117,           0.0079412,            0.010122,              0.9948,             0.98727,               0.995,             0.72686,            0.024508,           0.0039362,           0.0039989,           0.0072874,           0.0072874,           0.0072874
                 139,            0.033098,            0.010236,           0.0088362,             0.86045,             0.96921,              0.9507,              0.7008,            0.025561,           0.0040136,           0.0037154,           0.0072676,           0.0072676,           0.0072676
                 140,            0.035864,           0.0090157,           0.0081828,             0.86045,             0.96921,              0.9507,              0.7008,            0.025561,           0.0040136,           0.0037154,           0.0072478,           0.0072478,           0.0072478
                 141,             0.03388,             0.01072,           0.0093167,             0.97294,             0.99733,             0.99375,             0.72628,            0.020843,           0.0038413,           0.0036595,            0.007228,            0.007228,            0.007228
                 142,            0.032862,           0.0076395,           0.0098267,             0.98995,             0.99645,               0.995,             0.70239,            0.020242,           0.0039204,           0.0037497,           0.0072082,           0.0072082,           0.0072082
                 143,            0.032353,           0.0092973,           0.0073454,             0.99488,             0.98644,               0.995,             0.76658,            0.018923,           0.0037644,           0.0037223,           0.0071884,           0.0071884,           0.0071884
                 144,            0.031946,           0.0092957,           0.0084154,             0.99488,             0.98644,               0.995,             0.76658,            0.018923,           0.0037644,           0.0037223,           0.0071686,           0.0071686,           0.0071686
                 145,            0.028528,           0.0092848,           0.0089696,              0.9912,             0.98545,               0.995,             0.79466,             0.01601,           0.0035932,           0.0037953,           0.0071488,           0.0071488,           0.0071488
                 146,            0.028872,           0.0083631,           0.0092209,             0.75592,               0.975,             0.98316,             0.66079,            0.023503,           0.0039187,           0.0038648,            0.007129,            0.007129,            0.007129
                 147,            0.034256,           0.0090926,             0.01283,             0.96141,             0.99776,               0.995,             0.82383,            0.015979,           0.0035566,           0.0040605,           0.0071092,           0.0071092,           0.0071092
                 148,            0.029561,           0.0085048,            0.011419,             0.96141,             0.99776,               0.995,             0.82383,            0.015979,           0.0035566,           0.0040605,           0.0070894,           0.0070894,           0.0070894
                 149,            0.026153,           0.0084411,           0.0090995,             0.99487,             0.99027,               0.995,              0.8098,            0.017184,            0.003588,           0.0035771,           0.0070696,           0.0070696,           0.0070696
                 150,            0.028965,           0.0087103,           0.0078672,             0.80428,             0.94402,             0.91407,             0.63686,            0.026533,           0.0040281,           0.0033917,           0.0070498,           0.0070498,           0.0070498
                 151,            0.039369,           0.0097119,            0.006985,             0.97034,                   1,               0.995,             0.73208,            0.015337,            0.003505,           0.0033868,             0.00703,             0.00703,             0.00703
                 152,            0.026351,            0.008172,            0.010033,             0.97034,                   1,               0.995,             0.73208,            0.015337,            0.003505,           0.0033868,           0.0070102,           0.0070102,           0.0070102
                 153,            0.026246,           0.0081646,           0.0090542,             0.98193,                   1,               0.995,             0.84493,            0.013638,            0.003361,           0.0033105,           0.0069904,           0.0069904,           0.0069904
                 154,            0.032173,           0.0078943,            0.011562,             0.77617,             0.97368,             0.98068,             0.67385,            0.029955,           0.0041915,           0.0032175,           0.0069706,           0.0069706,           0.0069706
                 155,            0.038768,           0.0078335,           0.0064141,             0.97746,             0.99999,               0.995,             0.80211,            0.017688,           0.0037636,           0.0032469,           0.0069508,           0.0069508,           0.0069508
